passid	gene.symbol	gene.feature	celltype.class	localisation.class	upstream.length	smodel.26Feb2017.half.life[hours]	smodel.26Feb2017.r.square	smodel.12Jun2017.half.life[hours]	smodel.12Jun2017.r.square
fwdgroup00222612	Zdhhc4	3pUTR_extended	shared	not-localised	15283	2.501543	0.985002	3.018706	0.976167
fwdgroup00222625	Zdhhc4	3pUTR_extended	shared	not-localised	17860	24.000000	0.237266	0.663584	0.341954
fwdgroup00222733	Zfp316	3pUTR	others	not-localised	60	1.262406	0.892158	1.659783	0.882158
fwdgroup00222740	Zfp316	3pUTR	tissue	not-localised	1128	0.000000	-1.000000	6.305330	0.823082
fwdgroup00222743	Zfp316	3pUTR_extended	tissue	not-localised	1600	0.000000	-1.000000	5.350055	0.905069
fwdgroup00222787	Rbak	3pUTR_extended	others	not-localised	791	1.105177	0.982283	1.285398	0.933192
fwdgroup00222843	Rnf216	intron	tissue	not-localised	4189	0.000000	-1.000000	25.488276	0.714520
fwdgroup00222887	Rnf216	intron	tissue	not-localised	29652	0.000000	-1.000000	43.195229	0.639092
fwdgroup00222941	Rnf216	3pUTR_extended	others	not-localised	1873	3.059604	0.974351	4.052863	0.954215
revgroup00225704	Fscn1	3pUTR	neuron-enriched	not-localised	1094	24.272185	0.747152	24.762220	0.674880
revgroup00225709	Fscn1	intron	neuron-enriched	not-localised	224	0.000000	-1.000000	1.806718	0.797438
fwdgroup00222988	Actb	3pUTR_extended	shared	not-localised	79	24.000000	0.508374	4.083452	0.473716
fwdgroup00222989	Actb	3pUTR_extended	shared	not-localised	672	24.000000	0.647947	2.739315	0.715816
fwdgroup00223180	Tnrc18	intron	glia-enriched	not-localised	582	0.000000	-1.000000	13.063693	0.757338
revgroup00226006	Slc29a4	3pUTR_extended	neuron-enriched	not-localised	3229	24.000000	0.473657	5.621817	0.670237
fwdgroup00223270	Tnrc18	3pUTR	glia-enriched	not-localised	1331	5.291644	0.990219	5.824490	0.933930
revgroup00226017	Slc29a4	3pUTR	neuron-enriched	neuropil	972	33.465692	0.232120	34.203032	0.234167
revgroup00226018	Slc29a4	3pUTR	neuron-enriched	not-localised	513	73.485414	0.020247	85.745316	0.075344
revgroup00226057	Wipi2	3pUTR_extended	others	not-localised	2802	10.649825	0.950618	11.186712	0.937264
revgroup00226084	Wipi2	3pUTR_extended	others	not-localised	635	12.452961	0.892053	13.210659	0.831420
revgroup00226088	Wipi2	3pUTR	others	not-localised	181	13.120644	0.915571	13.520996	0.839767
fwdgroup00223448	Mmd2	3pUTR_extended	neuron-enriched	neuropil	1222	16.795038	0.615988	16.556456	0.627564
fwdgroup00223450	Mmd2	3pUTR_extended	neuron-enriched	not-localised	1875	5.390949	0.761523	7.670555	0.749572
fwdgroup00223553	Radil	3pUTR	neuron-enriched	not-localised	309	2.789378	0.967437	3.835411	0.960039
revgroup00226201	Ap5z1	3pUTR	glia-enriched	not-localised	1208	5.906757	0.961141	6.157406	0.948367
revgroup00226208	Ap5z1	3pUTR	glia-enriched	not-localised	319	24.000000	0.716796	19.318993	0.751040
revgroup00226228	Foxk1	3pUTR_extended	others	not-localised	6126	3.055600	0.991757	3.411449	0.991587
revgroup00226234	Foxk1	3pUTR	others	not-localised	207	3.094395	0.851987	4.427507	0.854623
fwdgroup00223967	Gna12	intron	neuron-enriched	neuropil	1001	0.000000	-1.000000	0.765855	0.216005
fwdgroup00223980	Gna12	3pUTR	neuron-enriched	not-localised	1167	4.385851	0.803513	7.844480	0.834276
revgroup00226746	Amz1	CDS_extended	tissue	not-localised	6641	0.000000	-1.000000	2.932903	0.588774
fwdgroup00223981	Gna12	3pUTR	neuron-enriched	neuropil	2172	17.360991	0.951910	16.252581	0.967539
revgroup00226747	Amz1	CDS_extended	tissue	not-localised	5738	0.000000	-1.000000	13.982219	0.764136
revgroup00226748	Amz1	CDS_extended	tissue	not-localised	5396	0.000000	-1.000000	37.176736	0.801141
revgroup00226773	Amz1	CDS_extended	glia-enriched	not-localised	2340	0.000000	-1.000000	8.565503	0.343348
revgroup00226786	Amz1	CDS_extended	glia-enriched	not-localised	804	0.000000	-1.000000	12.948987	0.740870
fwdgroup00224033	Gna12	3pUTR_extended	neuron-enriched	neuropil	9102	24.000000	0.403857	14.384509	0.489282
fwdgroup00224037	Gna12	3pUTR_extended	neuron-enriched	neuropil	10107	4.937215	0.765620	5.326086	0.807219
revgroup00226936	Lfng	3pUTR_extended	shared	not-localised	6987	3.289386	0.173754	12.018067	0.278658
fwdgroup00224225	Ttyh3	3pUTR_extended	neuron-enriched	neuropil	2889	10.356119	0.867077	10.113451	0.872486
revgroup00226951	Lfng	3pUTR_extended	shared	neuropil	1042	1.767543	0.950241	1.548425	0.844072
revgroup00226952	Lfng	3pUTR_extended	tissue	not-localised	834	0.000000	-1.000000	1.754187	0.839584
revgroup00226954	Lfng	3pUTR	tissue	not-localised	627	0.000000	-1.000000	3.871887	0.755728
fwdgroup00224280	Grifin	3pUTR_extended	others	not-localised	147	22.812741	0.165813	20.314409	0.364445
revgroup00227024	Chst12	3pUTR_extended	neuron-enriched	not-localised	314	2.492574	0.952505	3.257547	0.950170
revgroup00227025	Chst12	3pUTR	neuron-enriched	not-localised	157	3.972319	0.832647	4.171084	0.904925
revgroup00227059	Eif3b	3pUTR_extended	others	not-localised	486	8.078586	0.904562	8.957775	0.875446
revgroup00227169	Nudt1	3pUTR_extended	tissue	not-localised	2627	1.667356	0.726846	6.100782	0.647554
fwdgroup00224431	Snx8	3pUTR_extended	glia-enriched	neuropil	1200	24.000000	0.255682	36.011874	0.163176
revgroup00227175	Nudt1	3pUTR	glia-enriched	not-localised	162	16.864243	0.907925	21.680614	0.796023
fwdgroup00224442	Mrm2	3pUTR	shared	not-localised	117	0.000000	-1.000000	3.010374	0.913451
fwdgroup00224455	Mrm2	3pUTR_extended	shared	not-localised	1365	3.770276	0.962410	4.864443	0.935485
fwdgroup00224468	Mrm2	3pUTR_extended	shared	not-localised	3930	0.000000	-1.000000	2.160215	0.936504
fwdgroup00224539	Mad1l1	3pUTR	neuron-enriched	not-localised	394	7.545140	0.974962	10.575529	0.912969
revgroup00227258	Elfn1	3pUTR_extended	neuron-enriched	cell-culture	3084	0.000000	-1.000000	24.410526	0.305828
revgroup00227263	Elfn1	3pUTR_extended	neuron-enriched	not-localised	1073	7.737784	0.575052	7.216438	0.523887
revgroup00227359	Mafk	3pUTR_extended	shared	not-localised	21878	1.062519	0.720481	0.431948	0.803805
revgroup00227362	Mafk	3pUTR	shared	not-localised	1982	1.906018	0.964352	1.892243	0.971307
revgroup00227488	Uncx	3pUTR_extended	tissue	not-localised	11002	0.000000	-1.000000	21.015217	0.444642
fwdgroup00224875	Zfand2a	3pUTR	glia-enriched	not-localised	2424	24.000000	0.717791	2.708203	0.746933
revgroup00227590	Gper1	3pUTR_extended	tissue	neuropil	823	1.384997	0.711758	3.920760	0.608967
revgroup00227608	Gpr146	3pUTR_extended	glia-enriched	neuropil	2802	2.403467	0.919150	3.448314	0.888462
revgroup00227625	Gpr146	3pUTR	glia-enriched	neuropil	397	1.170879	0.743015	2.193489	0.782304
fwdgroup00224975	LOC498154	3pUTR	neuron-enriched	not-localised	215	9.403298	0.677892	11.533634	0.640288
fwdgroup00224981	LOC498154	3pUTR_extended	neuron-enriched	not-localised	826	2.464238	0.973175	2.185585	0.973260
fwdgroup00225006	Cox19	3pUTR	others	not-localised	450	10.921769	0.970460	11.681068	0.970446
fwdgroup00225018	Cox19	3pUTR	others	not-localised	2261	8.881943	0.849904	10.033203	0.877618
fwdgroup00225078	Adap1	3pUTR	neuron-enriched	not-localised	160	15.616043	0.546274	16.978925	0.585148
revgroup00227753	Get4	3pUTR_extended	tissue	not-localised	2307	8.940779	0.765831	7.056413	0.753554
fwdgroup00225080	Adap1	3pUTR	neuron-enriched	not-localised	1145	24.000000	0.652131	0.240466	0.773600
fwdgroup00225088	Adap1	3pUTR_extended	neuron-enriched	neuropil	2223	44.617872	0.144118	38.627178	0.186923
revgroup00227762	Get4	3pUTR	glia-enriched	not-localised	990	11.897828	0.979175	13.311870	0.927095
revgroup00227768	Get4	3pUTR	glia-enriched	not-localised	249	24.000000	0.601688	18.976777	0.699803
revgroup00227789	Sun1	3pUTR_extended	glia-enriched	somata	1268	8.037440	0.984421	8.348220	0.978911
revgroup00227873	Dnaaf5	3pUTR	glia-enriched	not-localised	860	1.943817	0.993041	2.515517	0.986998
fwdgroup00225310	Prkar1b	3pUTR	neuron-enriched	not-localised	1183	24.000000	0.685869	42.793455	0.276442
fwdgroup00225393	Pdgfa	intron	glia-enriched	not-localised	154	0.000000	-1.000000	20.328808	0.378787
fwdgroup00225408	Pdgfa	3pUTR	glia-enriched	not-localised	176	24.000000	0.674681	4.342780	0.640870
fwdgroup00225409	Pdgfa	3pUTR_extended	glia-enriched	neuropil	827	13.493693	0.954373	13.807073	0.891983
fwdgroup00225410	Pdgfa	3pUTR_extended	glia-enriched	not-localised	1181	3.152923	0.975740	3.202756	0.958001
revgroup00228044	Fam20c	3pUTR_extended	others	not-localised	696	4.688457	0.962528	5.215375	0.957238
revgroup00228143	RGD1566386	3pUTR	neuron-enriched	not-localised	807	1.344983	0.943017	1.030908	0.966502
fwdgroup00225640	Zfp68	3pUTR	glia-enriched	not-localised	171	2.323935	0.952461	3.883023	0.909594
fwdgroup00225651	Zfp68	3pUTR	glia-enriched	not-localised	1623	3.151988	0.940326	3.394779	0.939778
fwdgroup00225656	Zfp68	3pUTR	glia-enriched	not-localised	2602	2.419770	0.737234	5.270501	0.563712
revgroup00228298	Zfp157	3pUTR_extended	neuron-enriched	not-localised	15665	0.000000	-1.000000	2.247156	0.526079
revgroup00228317	Zfp157	3pUTR_extended	neuron-enriched	not-localised	4905	2.996390	0.938258	3.395167	0.918934
revgroup00228329	Zfp157	3pUTR_extended	neuron-enriched	not-localised	2286	0.000000	-1.000000	23.630047	0.590509
revgroup00228335	Zfp157	3pUTR	neuron-enriched	not-localised	1407	1.268129	0.864250	1.058688	0.920046
fwdgroup00225751	Dhrsx	3pUTR_extended	neuron-enriched	not-localised	1259	23.944620	0.806530	23.655716	0.690180
fwdgroup00225757	Dhrsx	3pUTR_extended	neuron-enriched	not-localised	3164	-10.824132	0.264612	1.707091	0.032638
revgroup00228439	Akap17a	3pUTR	others	not-localised	204	2.689704	0.996107	2.814918	0.992243
fwdgroup00225822	Asmtl	3pUTR	neuron-enriched	not-localised	123	28.982253	0.595463	0.004104	0.086420
revgroup00228486	Il3ra	3pUTR	neuron-enriched	not-localised	52	25.209384	0.576424	34.654201	0.226712
revgroup00228487	Il3ra	intron	neuron-enriched	not-localised	1837	0.000000	-1.000000	21.532655	0.631947
fwdgroup00225831	Asmtl	3pUTR_extended	neuron-enriched	not-localised	1624	24.000000	0.244822	0.165576	0.627792
fwdgroup00225880	Cyp3a62	3pUTR_extended	tissue	not-localised	210	0.000000	-1.000000	4.666958	0.544597
fwdgroup00225968	Spry3	CDS_extended	neuron-enriched	not-localised	1975	0.000000	-1.000000	2.483145	0.868923
fwdgroup00225969	Spry3	CDS_extended	tissue	not-localised	2113	0.000000	-1.000000	9.720625	0.806273
fwdgroup00226013	Vamp7	CDS_extended	shared	not-localised	182	0.000000	-1.000000	2.400702	0.172412
fwdgroup00226014	Vamp7	CDS_extended	shared	not-localised	470	0.000000	-1.000000	2.076704	0.097041
fwdgroup00226020	Vamp7	CDS_extended	shared	somata	1983	0.000000	-1.000000	18.855110	0.645578
fwdgroup00226027	Vamp7	CDS_extended	shared	not-localised	3534	0.000000	-1.000000	12.952993	0.841321
fwdgroup00226049	Vamp7	CDS_extended	shared	not-localised	8251	0.000000	-1.000000	33.320632	0.353961
fwdgroup00226051	Vamp7	CDS_extended	shared	not-localised	8650	0.000000	-1.000000	13.331558	0.108408
fwdgroup00226058	Vamp7	CDS_extended	shared	not-localised	9912	0.000000	-1.000000	22.487613	0.355104
revgroup00228809	Cyp3a9	3pUTR	tissue	not-localised	294	0.000000	-1.000000	5.404029	0.264743
fwdgroup00226182	Zkscan1	intron	tissue	not-localised	1607	0.000000	-1.000000	6.974923	0.624230
fwdgroup00226200	Zkscan1	3pUTR_extended	tissue	not-localised	1274	0.000000	-1.000000	7.222762	0.911874
fwdgroup00226214	Zkscan1	3pUTR_extended	others	not-localised	2742	1.428688	0.855109	1.878172	0.893667
fwdgroup00226248	Zkscan1	3pUTR_extended	others	not-localised	5997	3.030106	0.990134	3.454468	0.992468
fwdgroup00226267	Zscan21	intron	tissue	not-localised	2421	0.000000	-1.000000	24.419681	0.392863
fwdgroup00226283	Zscan21	3pUTR_extended	glia-enriched	not-localised	372	1.260261	0.984804	0.774025	0.965660
fwdgroup00226288	Zscan21	3pUTR_extended	glia-enriched	not-localised	1941	1.389066	0.918622	2.158039	0.958647
fwdgroup00226371	Cops6	3pUTR_extended	neuron-enriched	not-localised	138	24.000000	0.809827	3.350331	0.797843
revgroup00229087	Mcm7	3pUTR	glia-enriched	not-localised	112	4.074378	0.953714	5.293688	0.940246
fwdgroup00226413	Ap4m1	CDS_extended	glia-enriched	not-localised	196	0.000000	-1.000000	27.996720	0.265550
revgroup00229124	Taf6	3pUTR	others	not-localised	54	12.379757	0.901625	13.004243	0.902250
fwdgroup00226432	Ap4m1	CDS_extended	glia-enriched	not-localised	1911	0.000000	-1.000000	1.237963	0.615854
fwdgroup00226433	Ap4m1	CDS_extended	glia-enriched	not-localised	2291	0.000000	-1.000000	2.415323	0.250794
fwdgroup00226470	Cnpy4	3pUTR	glia-enriched	not-localised	697	9.690637	0.889797	11.221901	0.893863
fwdgroup00226477	Mblac1	3pUTR_extended	neuron-enriched	not-localised	439	5.217764	0.831487	5.460321	0.846723
fwdgroup00226493	Mblac1	3pUTR_extended	tissue	not-localised	4343	0.000000	-1.000000	17.508052	0.635742
fwdgroup00226554	Lamtor4	3pUTR	neuron-enriched	not-localised	227	24.000000	0.647484	19.878504	0.486854
revgroup00229268	RGD1305455	3pUTR	neuron-enriched	not-localised	583	15.512626	0.931045	14.132378	0.875444
revgroup00229302	Gal3st4	3pUTR	glia-enriched	neuropil	351	3.765776	0.802681	4.848899	0.691864
revgroup00229320	Gpc2	3pUTR	others	not-localised	635	0.677687	0.365262	0.697828	0.583051
fwdgroup00226715	Nyap1	3pUTR_extended	neuron-enriched	neuropil	795	20.394284	0.780683	19.603373	0.546466
fwdgroup00226791	Agfg2	intron	others	not-localised	334	0.000000	-1.000000	8.739522	0.662811
revgroup00229448	Lrch4	3pUTR_extended	shared	not-localised	13223	17.921141	0.526848	18.668783	0.604901
fwdgroup00226810	Agfg2	3pUTR	others	not-localised	1269	6.693845	0.977401	6.631967	0.944405
fwdgroup00226821	Irs3	3pUTR_extended	glia-enriched	cell-culture	297	0.000000	-1.000000	1.628615	0.562606
revgroup00229478	Lrch4	3pUTR_extended	shared	cell-culture	2786	0.000000	-1.000000	2.405698	0.478954
revgroup00229481	Lrch4	3pUTR_extended	shared	not-localised	970	2.021471	0.890091	4.224751	0.805802
revgroup00229484	Lrch4	3pUTR	shared	not-localised	390	1.532446	0.977287	2.173015	0.946710
fwdgroup00226863	Pcolce	3pUTR	glia-enriched	not-localised	60	-0.683250	0.011160	0.087911	0.001266
fwdgroup00226884	Mospd3	CDS	neuron-enriched	not-localised	143	0.000000	-1.000000	10.286901	0.558252
fwdgroup00226885	Mospd3	3pUTR_extended	neuron-enriched	neuropil	189	26.026801	0.914899	22.016348	0.787892
revgroup00229557	Tfr2	3pUTR	others	cell-culture	356	0.000000	-1.000000	27.656599	0.421517
revgroup00229572	Actl6b	3pUTR_extended	neuron-enriched	not-localised	208	36.668179	0.611414	36.880893	0.352748
fwdgroup00226990	Gnb2	3pUTR	neuron-enriched	not-localised	195	10.658816	0.777865	11.030826	0.725923
fwdgroup00226991	Gnb2	3pUTR_extended	neuron-enriched	not-localised	375	18.609388	0.657253	19.426284	0.451296
revgroup00229651	Gigyf1	3pUTR_extended	neuron-enriched	not-localised	2227	1.644938	0.976065	2.094951	0.953228
fwdgroup00226998	Gnb2	3pUTR_extended	tissue	not-localised	1301	0.000000	-1.000000	0.389098	0.430393
fwdgroup00227045	Pop7	3pUTR_extended	others	not-localised	218	3.225536	0.981920	3.392320	0.979250
fwdgroup00227150	Slc12a9	3pUTR	others	not-localised	394	9.197656	0.918406	10.044553	0.843578
fwdgroup00227156	Trip6	3pUTR	glia-enriched	not-localised	133	2.601577	0.987824	3.796744	0.978634
fwdgroup00227201	Trip6	3pUTR_extended	glia-enriched	not-localised	15842	24.000000	0.785888	48.807489	0.773433
revgroup00229885	Ache	3pUTR_extended	neuron-enriched	not-localised	1437	24.000000	0.939586	9.984328	0.873040
revgroup00229894	Ache	3pUTR_extended	neuron-enriched	not-localised	220	85.076593	0.397876	0.035703	0.097200
fwdgroup00227319	Serpine1	3pUTR	glia-enriched	cell-culture	640	0.000000	-1.000000	22.356541	0.842178
fwdgroup00227324	Serpine1	3pUTR_extended	glia-enriched	not-localised	1741	1.368894	0.563299	0.992394	0.662421
fwdgroup00227356	Ap1s1	3pUTR	others	not-localised	744	24.000000	0.637844	0.344368	0.647780
revgroup00230017	Vgf	3pUTR_extended	neuron-enriched	somata	467	24.000000	0.872403	10.456668	0.552898
revgroup00230041	Plod3	3pUTR	glia-enriched	neuropil	232	14.065897	0.767067	14.230072	0.850124
fwdgroup00227437	Znhit1	intron	neuron-enriched	not-localised	2	0.000000	-1.000000	22.034802	0.830091
fwdgroup00227438	Znhit1	3pUTR	neuron-enriched	not-localised	200	18.841709	0.868943	18.204151	0.712449
revgroup00230106	Cldn15	intron	tissue	not-localised	1322	0.000000	-1.000000	47.990575	0.296701
revgroup00230119	Fis1	3pUTR	neuron-enriched	not-localised	220	67.600731	0.531923	0.000029	0.251093
revgroup00230149	Fis1	intron	neuron-enriched	not-localised	804	0.000000	-1.000000	0.652974	0.304026
revgroup00230162	LOC100910802	3pUTR_extended	others	neuropil	6157	24.000000	0.273916	11.058151	0.362029
revgroup00230224	Ift22	3pUTR_extended	neuron-enriched	not-localised	3471	0.000000	-1.000000	15.142598	0.659968
revgroup00230226	Ift22	3pUTR_extended	neuron-enriched	not-localised	3108	24.000000	0.139651	11.316970	0.294379
revgroup00230230	Ift22	3pUTR_extended	neuron-enriched	not-localised	2125	24.000000	0.377583	0.074377	0.377111
revgroup00230241	Ift22	3pUTR_extended	neuron-enriched	not-localised	753	24.000000	0.911729	6.028038	0.827468
revgroup00230244	Ift22	3pUTR	neuron-enriched	not-localised	292	24.000000	0.314111	4.151797	0.362891
revgroup00230252	Ift22	intron	tissue	somata	6	0.000000	-1.000000	5.816863	0.947784
fwdgroup00227618	Col26a1	3pUTR	neuron-enriched	cell-culture	1265	65.845885	0.099165	21.919360	0.140207
fwdgroup00227841	Sh2b2	3pUTR	shared	not-localised	678	5.447947	0.808932	5.986634	0.812501
fwdgroup00227848	Sh2b2	3pUTR_extended	shared	neuropil	14189	27.793056	0.323032	26.472511	0.379798
fwdgroup00227877	Prkrip1	3pUTR	glia-enriched	not-localised	320	15.245808	0.757203	15.286343	0.713760
fwdgroup00227881	Prkrip1	3pUTR_extended	glia-enriched	not-localised	1104	0.000000	-1.000000	19.889608	0.853302
fwdgroup00227900	Prkrip1	3pUTR_extended	glia-enriched	not-localised	3477	3.659616	0.851526	3.214149	0.873808
fwdgroup00227986	Orai2	3pUTR	others	not-localised	3104	24.000000	0.321099	4.736161	0.395472
revgroup00230631	Alkbh4	3pUTR	others	not-localised	858	1.955392	0.926917	2.451730	0.921962
revgroup00230633	Alkbh4	3pUTR	others	not-localised	224	0.000000	-1.000000	2.934798	0.895949
fwdgroup00228026	Lrwd1	3pUTR	glia-enriched	not-localised	242	3.589109	0.974520	3.783461	0.969822
revgroup00230660	Polr2j	3pUTR	neuron-enriched	not-localised	161	10.327140	0.918372	10.855967	0.898538
revgroup00230662	Polr2j	intron	neuron-enriched	not-localised	2	0.000000	-1.000000	6.182830	0.868312
revgroup00230765	Zp3	3pUTR_extended	glia-enriched	not-localised	5773	0.000000	-1.000000	1.781059	0.676016
fwdgroup00228210	Ywhag	3pUTR	neuron-enriched	not-localised	708	29.448612	0.840886	28.738880	0.723773
revgroup00230853	Hspb1	3pUTR	glia-enriched	neuropil	123	20.974365	0.145653	19.920221	0.211259
revgroup00230872	Srrm3	3pUTR	neuron-enriched	not-localised	1450	7.731093	0.892430	9.608528	0.891063
revgroup00230920	Srrm3	intron	neuron-enriched	not-localised	9444	0.000000	-1.000000	0.002405	0.176120
revgroup00231040	Mdh2	3pUTR	others	not-localised	68	24.000000	0.741513	0.302964	0.610791
fwdgroup00228360	Styxl1	3pUTR_extended	glia-enriched	not-localised	290	0.000000	-1.000000	7.516823	0.966621
fwdgroup00228409	Tmem120a	3pUTR	glia-enriched	not-localised	203	4.235730	0.982878	5.016821	0.956088
revgroup00231097	Por	3pUTR	glia-enriched	not-localised	360	4.886319	0.981580	5.580433	0.979943
revgroup00231222	Rhbdd2	3pUTR_extended	neuron-enriched	not-localised	2915	24.000000	0.019637	1.289241	0.159082
revgroup00231232	Rhbdd2	3pUTR_extended	neuron-enriched	not-localised	810	58.218083	0.818488	23.473160	0.741657
fwdgroup00228682	Hip1	intron	shared	cell-culture	566	0.000000	-1.000000	23.695196	0.129577
fwdgroup00228737	Hip1	3pUTR	shared	not-localised	252	2.448270	0.896366	3.396786	0.845861
fwdgroup00228740	Hip1	3pUTR	shared	not-localised	1084	4.463316	0.783409	3.827944	0.790056
fwdgroup00228747	Hip1	3pUTR	shared	not-localised	1942	2.229097	0.924741	2.416505	0.932148
fwdgroup00228770	Hip1	3pUTR_extended	shared	not-localised	4279	3.180881	0.985137	3.747767	0.984506
fwdgroup00228781	Hip1	3pUTR_extended	shared	not-localised	8060	0.000000	-1.000000	36.342323	0.703075
revgroup00231473	Nsun5	3pUTR_extended	neuron-enriched	not-localised	16087	24.000000	0.248283	18.289737	0.469796
fwdgroup00228840	Pom121	3pUTR	neuron-enriched	not-localised	1492	2.262699	0.966344	3.392890	0.958610
revgroup00231522	Nsun5	3pUTR_extended	neuron-enriched	not-localised	844	3.664983	0.981614	3.866991	0.872224
fwdgroup00228842	Pom121	3pUTR_extended	neuron-enriched	not-localised	1907	2.818215	0.994253	3.235517	0.990356
revgroup00231526	Nsun5	3pUTR	neuron-enriched	not-localised	183	8.355290	0.847901	11.158764	0.809526
fwdgroup00228857	Pom121	3pUTR_extended	neuron-enriched	neuropil	5494	-0.000201	0.002136	35.333456	0.198148
fwdgroup00228891	Fkbp6	3pUTR	tissue	neuropil	365	0.000000	-1.000000	3.728401	0.289362
fwdgroup00228931	Fzd9	3pUTR_extended	neuron-enriched	neuropil	320	3.225196	0.956464	3.315248	0.794631
revgroup00231627	Baz1b	3pUTR_extended	glia-enriched	not-localised	1673	5.832031	0.975506	5.794454	0.963394
fwdgroup00228949	Fzd9	3pUTR_extended	tissue	not-localised	3711	0.000000	-1.000000	8.472348	0.613531
revgroup00231632	Baz1b	3pUTR	glia-enriched	not-localised	937	0.000000	-1.000000	13.393955	0.807575
revgroup00231750	Bcl7b	3pUTR	glia-enriched	not-localised	220	4.239188	0.957832	4.824565	0.961750
revgroup00231769	Bcl7b	intron	glia-enriched	not-localised	2587	0.000000	-1.000000	0.022814	0.390292
revgroup00231859	Mlxipl	3pUTR	glia-enriched	cell-culture	553	0.000000	-1.000000	24.948230	0.971482
fwdgroup00229177	Vps37d	3pUTR_extended	neuron-enriched	not-localised	720	4.966428	0.990097	5.260251	0.956023
revgroup00231902	Dnajc30	3pUTR_extended	neuron-enriched	not-localised	2177	25.105969	0.549521	21.599377	0.649695
revgroup00231905	Dnajc30	3pUTR_extended	neuron-enriched	not-localised	1671	0.000000	-1.000000	16.479353	0.731254
revgroup00231915	Dnajc30	3pUTR	neuron-enriched	not-localised	399	14.683342	0.950878	15.234436	0.845904
fwdgroup00229234	Wbscr22	3pUTR	others	not-localised	405	4.274069	0.968748	5.528055	0.939952
revgroup00231947	Stx1a	3pUTR	neuron-enriched	not-localised	1232	24.000000	0.035552	1.765678	0.040483
revgroup00232003	Abhd11	3pUTR_extended	glia-enriched	not-localised	2893	0.000000	-1.000000	45.696188	0.202460
revgroup00232007	Abhd11	3pUTR_extended	glia-enriched	not-localised	2544	0.000000	-1.000000	0.079101	0.463907
revgroup00232022	Abhd11	3pUTR_extended	glia-enriched	not-localised	219	24.000000	0.807975	16.935009	0.786339
revgroup00232065	Wbscr27	CDS_extended	neuron-enriched	not-localised	474	0.000000	-1.000000	0.022382	0.538640
fwdgroup00229421	Eln	intron	tissue	not-localised	494	0.000000	-1.000000	44.634767	0.275069
fwdgroup00229442	Eln	3pUTR	glia-enriched	neuropil	957	7.749008	0.272120	6.227091	0.239007
fwdgroup00229444	Eln	3pUTR_extended	glia-enriched	cell-culture	1194	0.000000	-1.000000	22.373965	0.637615
fwdgroup00229511	Limk1	3pUTR	neuron-enriched	not-localised	1163	35.939964	0.824414	22.615073	0.570663
fwdgroup00229574	Eif4h	3pUTR	others	not-localised	1635	24.000000	0.950624	52.263514	0.932317
fwdgroup00229589	Lat2	CDS_extended	glia-enriched	neuropil	2477	0.000000	-1.000000	22.174093	0.643680
revgroup00232308	Rfc2	3pUTR	glia-enriched	not-localised	440	9.245465	0.848545	10.118702	0.780101
fwdgroup00229767	Clip2	3pUTR	others	not-localised	1400	10.249001	0.964552	10.450095	0.876201
fwdgroup00229768	Clip2	3pUTR_extended	others	not-localised	1829	14.621272	0.412363	15.758335	0.565479
fwdgroup00229804	Gtf2ird1	3pUTR	others	not-localised	127	2.954784	0.914637	3.433381	0.896158
fwdgroup00229935	Gtf2i	3pUTR	glia-enriched	not-localised	1045	12.023891	0.972297	12.399793	0.971282
fwdgroup00229945	Ncf1	3pUTR	glia-enriched	cell-culture	1279	0.000000	-1.000000	23.970234	0.872040
fwdgroup00229947	Ncf1	3pUTR	glia-enriched	neuropil	1574	0.000000	-1.000000	23.698173	0.449318
revgroup00232654	Gtf2ird2	CDS_extended	others	not-localised	593	0.000000	-1.000000	8.575437	0.905700
fwdgroup00229972	Ncf1	3pUTR_extended	tissue	not-localised	6899	2.849622	0.419811	5.289248	0.643601
fwdgroup00230042	Rcc1l	3pUTR_extended	others	not-localised	826	6.598563	0.961554	7.472251	0.963442
revgroup00232753	Gatsl2	3pUTR	others	neuropil	5690	24.000000	0.898392	8.666110	0.839565
revgroup00232795	Gatsl2	3pUTR	others	cell-culture	2020	0.000000	-1.000000	4.477425	0.782167
revgroup00232802	Gatsl2	3pUTR	others	cell-culture	1093	0.000000	-1.000000	1.348912	0.759860
fwdgroup00231111	Wbscr17	CDS_extended	neuron-enriched	not-localised	1262	0.000000	-1.000000	12.968525	0.684116
fwdgroup00231112	Wbscr17	CDS_extended	neuron-enriched	not-localised	1675	0.000000	-1.000000	14.590075	0.699417
fwdgroup00231117	Wbscr17	CDS_extended	neuron-enriched	somata	2306	0.000000	-1.000000	16.242375	0.673862
fwdgroup00231132	Wbscr17	CDS_extended	neuron-enriched	not-localised	4282	0.000000	-1.000000	3.707280	0.869222
revgroup00233602	Caln1	CDS_extended	neuron-enriched	not-localised	8028	0.000000	-1.000000	33.328001	0.079252
revgroup00233663	Caln1	CDS_extended	neuron-enriched	not-localised	1188	0.000000	-1.000000	3.499789	0.214588
revgroup00233664	Caln1	CDS_extended	neuron-enriched	neuropil	688	0.000000	-1.000000	0.018166	0.094147
revgroup00233666	Caln1	CDS_extended	neuron-enriched	not-localised	148	0.000000	-1.000000	9.592750	0.606155
fwdgroup00231395	Sbds	3pUTR	glia-enriched	not-localised	616	16.376234	0.834306	16.861893	0.825158
revgroup00233936	Tmem248	3pUTR_extended	shared	not-localised	2348	9.518682	0.810864	11.333653	0.834471
